id,area,sido,sigungu,name,address,x,y,category,phone,url,keywords
1651240520,담양,전라남도,담양군,카페더하루,전남 담양군 금성면 담순로 33,127.0189766030383,35.33732661896023,카페,,http://place.map.kakao.com/1651240520,카페
843514655,담양,전라남도,담양군,미각&담양양갱,전남 담양군 담양읍 완동길 9-9,126.98007188000146,35.324074149850944,카페,061-383-1109,http://place.map.kakao.com/843514655,카페
585949857,담양,전라남도,담양군,스포트라이트커피,전남 담양군 대전면 병풍로 189,126.89197883946,35.2812157954004,카페,061-381-8830,http://place.map.kakao.com/585949857,카페
2026482811,담양,전라남도,담양군,돌담,전남 담양군 창평면 돌담길 15-39,127.018307218573,35.236974157628,카페,,http://place.map.kakao.com/2026482811,카페
1375013243,담양,전라남도,담양군,생츄어리 담양점,전남 담양군 금성면 원율길 2,127.03130290326172,35.35181477109453,카페,0507-1469-0641,http://place.map.kakao.com/1375013243,카페
9009732,담양,전라남도,담양군,햇살부르는바람소리,전남 담양군 가사문학면 지실길 61-37,127.00873128564649,35.19166969351895,카페,061-382-5266,http://place.map.kakao.com/9009732,카페
583154547,담양,전라남도,담양군,까망감,전남 담양군 용면 추월산로 900-9,127.00008585922834,35.395830657177285,카페,010-8664-9193,http://place.map.kakao.com/583154547,디저트 카페;디저트카페;카페
7878723,담양,전라남도,담양군,명가은,전남 담양군 가사문학면 반석길 48-8,127.019791104604,35.1767563572609,카페,,http://place.map.kakao.com/7878723,카페
2128110168,담양,전라남도,담양군,프룩커피,전남 담양군 수북면 태왕1로 105-6,126.938978455443,35.3166604291187,카페,070-4408-2022,http://place.map.kakao.com/2128110168,카페
2002091136,담양,전라남도,담양군,담만장,전남 담양군 용면 추월산로 1276,126.996392651987,35.4241213083282,카페,,http://place.map.kakao.com/2002091136,카페
743419657,담양,전라남도,담양군,담화,전남 담양군 봉산면 면앙정로 368,126.961188561644,35.2826206253114,카페,061-381-2727,http://place.map.kakao.com/743419657,디저트 카페;디저트카페;베이커리 카페;카페
1209703421,담양,전라남도,담양군,트인달,전남 담양군 창평면 창평로 594-1,127.013749215601,35.2377165706881,카페,010-4554-1310,http://place.map.kakao.com/1209703421,디저트 카페;디저트카페;카페
690703670,담양,전라남도,담양군,아우터베이크하우스 담양점,전남 담양군 담양읍 시산1길 53,126.975677276889,35.3236028487698,카페,061-938-9961,http://place.map.kakao.com/690703670,디저트 카페;디저트카페;베이커리 카페;카페
822517094,담양,전라남도,담양군,카페밀,전남 담양군 수북면 한수동로 578,126.92937026201426,35.30302517981753,카페,061-381-5780,http://place.map.kakao.com/822517094,베이커리 카페;카페
1121091916,담양,전라남도,담양군,슬담,전남 담양군 담양읍 선계길 31-6,126.995957462144,35.3406395379924,카페,010-9911-5573,http://place.map.kakao.com/1121091916,카페
2142990839,담양,전라남도,담양군,카페림,전남 담양군 봉산면 송강정로 192,126.950024945263,35.2538023832751,카페,,http://place.map.kakao.com/2142990839,카페
1187467405,담양,전라남도,담양군,담다,전남 담양군 담양읍 월광로 41,126.976594073216,35.3326902843913,카페,061-382-3003,http://place.map.kakao.com/1187467405,디저트 카페;디저트카페;베이커리 카페;카페
1856161583,담양,전라남도,담양군,담양 리사 카페,전남 담양군 용면 추월산로 737,126.99198181394357,35.387286730814644,카페,,http://place.map.kakao.com/1856161583,카페
196591769,담양,전라남도,담양군,오프더커프,전남 담양군 대전면 추성1로 425-9,126.9060850606741,35.287778512738804,카페,0507-1324-1990,http://place.map.kakao.com/196591769,베이커리 카페;카페
718570752,담양,전라남도,담양군,양각리키친,전남 담양군 담양읍 추성로 1239,126.973892783473,35.3187857394163,카페,0507-1302-3790,http://place.map.kakao.com/718570752,카페
132247,담양,전라남도,담양군,하루키의서재,전남 담양군 담양읍 죽향대로 1140,126.981453720046,35.3073942385147,카페,0502-5551-3880,http://place.map.kakao.com/132247,카페
1625448002,담양,전라남도,담양군,멍포레,전남 담양군 대전면 나곡길 17,126.89932382294295,35.283805373938364,카페,0502-5552-3049,http://place.map.kakao.com/1625448002,카페
18295783,담양,전라남도,담양군,카페 매화나무집,전남 담양군 창평면 돌담길 86,127.01955981701,35.2377419102611,카페,,http://place.map.kakao.com/18295783,카페
1203188952,담양,전라남도,담양군,카페이장님댁,전남 담양군 가사문학면 백아로 2609-14,127.086033434922,35.130982488875,카페,061-383-8333,http://place.map.kakao.com/1203188952,카페;케이크 카페
804620220,담양,전라남도,담양군,카페온다,전남 담양군 대전면 병풍로 382,126.880176972246,35.2944408580395,카페,0502-5552-3438,http://place.map.kakao.com/804620220,카페;케이크 카페
9666705,담양,전라남도,담양군,구름모자,전남 담양군 대전면 병풍로 391,126.87962490182,35.2953046938735,카페,,http://place.map.kakao.com/9666705,카페
207135923,담양,전라남도,담양군,머무른하우스,전남 담양군 창평면 창평로 577-1,127.01300236694,35.2390461414381,카페,061-382-7638,http://place.map.kakao.com/207135923,카페
499766228,담양,전라남도,담양군,아리에뜰,전남 담양군 용면 추월산로 997,126.99826504766,35.4030953153517,카페,061-383-2064,http://place.map.kakao.com/499766228,카페
995997958,담양,전라남도,담양군,코튼드수플레,전남 담양군 고서면 가사문학로 327,126.97352576435414,35.223320812647714,카페,010-8279-3893,http://place.map.kakao.com/995997958,카페
806331736,담양,전라남도,담양군,대담,전남 담양군 담양읍 언골길 5-4,126.983458983526,35.325237382925,카페,061-381-0081,http://place.map.kakao.com/806331736,카페
18455539,담양,전라남도,담양군,에코카페&샌드위치,전남 담양군 담양읍 삼거리길 8-8,126.98165641348933,35.31060663594133,카페,061-383-7602,http://place.map.kakao.com/18455539,디저트 카페;디저트카페;카페
473172748,담양,전라남도,담양군,프랭크커핀바 담양점,전남 담양군 담양읍 메타프로방스1길 13,127.00211265228,35.3226750986777,카페,010-5628-7990,http://place.map.kakao.com/473172748,카페
975153782,담양,전라남도,담양군,숲카페,전남 담양군 담양읍 메타프로방스1길 55-5,127.002019146635,35.3216511832121,카페,,http://place.map.kakao.com/975153782,카페
8698556,담양,전라남도,담양군,갑을원한옥카페,전남 담양군 창평면 돌담길 67,127.019309137871,35.2369235264449,카페,061-382-3669,http://place.map.kakao.com/8698556,카페
8450205,담양,전라남도,담양군,카페소호,전남 담양군 가사문학면 가사문학로 888,127.004501506345,35.1864420638129,카페,061-381-5959,http://place.map.kakao.com/8450205,카페
1546637168,담양,전라남도,담양군,크로엔젤 담양점,전남 담양군 대전면 병풍로 366,126.881223863662,35.2934981887109,카페,061-383-0433,http://place.map.kakao.com/1546637168,베이커리 카페;카페
2103763102,담양,전라남도,담양군,디프커피,전남 담양군 담양읍 지침1길 4,126.983337302138,35.3179437592218,카페,010-4769-4036,http://place.map.kakao.com/2103763102,카페
284895335,담양,전라남도,담양군,소예르,전남 담양군 담양읍 지침6길 78-6,126.989640753801,35.3182977872649,카페,061-383-5819,http://place.map.kakao.com/284895335,카페
1042056003,담양,전라남도,담양군,아이올라,전남 담양군 담양읍 향교길 12-1,126.985624501321,35.3251898890326,카페,,http://place.map.kakao.com/1042056003,카페
472621729,담양,전라남도,담양군,센티드 커피로스터스,전남 담양군 담양읍 천변7길 5-10,126.98169090575921,35.313691016120885,카페,070-7576-3626,http://place.map.kakao.com/472621729,카페
1276034675,담양,전라남도,담양군,반달카페,전남 담양군 봉산면 반월길 28-12,126.96799502122107,35.26850218821318,카페,,http://place.map.kakao.com/1276034675,카페
533932207,담양,전라남도,담양군,카페하녹,전남 담양군 창평면 창평현로 714-40,127.02652048077177,35.237165525211644,카페,061-383-1822,http://place.map.kakao.com/533932207,카페
1653315834,담양,전라남도,담양군,카페인우,전남 담양군 용면 추령로 321,126.96473642526,35.3849104623857,카페,010-2765-1504,http://place.map.kakao.com/1653315834,카페
